// Site Explorer -> Overview, metrics history, monthly, 2023-08 .. 2026-08
// org_cost в центах USD. Два режима бок о бок + разница = вклад поддоменов.
date,apex_org_traffic,subdomains_org_traffic,subdomains_minus_apex,apex_org_cost_cents,subdomains_org_cost_cents
2023-08-01,693563,693563,0,39277272,39277272
2023-09-01,780434,780434,0,46853470,46853470
2023-10-01,780841,780841,0,45731662,45731662
2023-11-01,790590,790595,5,45926131,45926131
2023-12-01,777749,777762,13,42447866,42447866
2024-01-01,747786,747923,137,38601687,38608681
2024-02-01,622931,623357,426,30867231,30880479
2024-03-01,447386,448133,747,24613414,24634856
2024-04-01,642408,643356,948,31329652,31353206
2024-05-01,484014,484523,509,25021160,25044749
2024-06-01,269753,270110,357,16698820,16709840
2024-07-01,303093,303236,143,17415989,17422033
2024-08-01,214984,215308,324,12750122,12751335
2024-09-01,281149,281409,260,20169202,20169511
2024-10-01,334016,334778,762,22744948,22763462
2024-11-01,43897,68673,24776,3810909,5465459
2024-12-01,230213,286028,55815,16745336,21681284
2025-01-01,297208,303813,6605,23234632,23673483
2025-02-01,280673,288177,7504,25870697,27075351
2025-03-01,309937,318509,8572,29328586,30714457
2025-04-01,235928,245002,9074,19492990,20713647
2025-05-01,262038,274516,12478,23137693,24676737
2025-06-01,239115,256839,17724,19636700,21740684
2025-07-01,215809,240979,25170,14055028,15676805
2025-08-01,187762,229285,41523,12988105,15206365
2025-09-01,115917,189852,73935,7857176,11901048
2025-10-01,87177,178545,91368,6324150,11155388
2025-11-01,139064,200210,61146,9861308,14574533
2025-12-01,133219,200220,67001,10286808,14845057
2026-01-01,156461,212895,56434,10409465,14011416
2026-02-01,107036,220909,113873,8590638,14402663
2026-03-01,111479,237675,126196,7962862,14888268
2026-04-01,146348,264993,118645,11064628,17056574
2026-05-01,168544,294930,126386,12192995,18245678
2026-06-01,121388,234042,112654,8740820,15214664
2026-07-01,77387,200786,123399,5403024,15449057
2026-08-01,20301,172683,152382,1289794,12631747
