// Site Explorer -> Backlinks -> Referring domains, топ-30/40 по DR, для трёх доменов сетки.
// Пункт 7 из 7-бис: проверка допущения «они почти ниоткуда не залинкованы».
// Допущение по объёму опровергнуто — доноров тысячи. Но профиль покупной/UGC-шный:
// профили на diigo/steemit/medium, форумы (boardhost, atw.hu), бесплатные хостинги
// (hostingersite, myftpupload, flywheelsites, altervista), взломанные .edu/.gov
// (illinois.edu, uconn.edu, kerala.gov.in, cultura.gov.it, jcyl.es), и в открытую —
// buybacklinks.agency, fiverr-seo-for-small-businesses.site, rankyour.website.
// Редакционных ссылок в верхушке нет ни у одного.
target,donor_domain,donor_dr,links_to_target,donor_traffic,first_seen
mostbet.net.pl,vimeo.com,96.0,1,2627776,2025-03-08
mostbet.net.pl,bbc.co.uk,93.0,1,138287232,2024-12-15
mostbet.net.pl,bbc.com,93.0,3,86086344,2024-12-08
mostbet.net.pl,hostingersite.com,92.0,2,26711,2026-05-02
mostbet.net.pl,us.com,92.0,1,2855586,2026-06-03
mostbet.net.pl,azurewebsites.net,92.0,1,761056,2026-05-08
mostbet.net.pl,so.com,91.0,1,6016,2026-01-15
mostbet.net.pl,free.fr,91.0,2,10282576,2024-12-06
mostbet.net.pl,in.net,91.0,2,6180932,2026-05-03
mostbet.net.pl,provenexpert.com,91.0,1,59182,2024-12-15
mostbet.net.pl,aljazeera.com,90.0,1,10996579,2024-12-13
mostbet.net.pl,illinois.edu,90.0,2,984775,2024-12-17
mostbet.net.pl,about.me,90.0,1,325801,2025-01-19
mostbet.net.pl,ovh.net,90.0,1,239138,2026-04-21
mostbet.net.pl,za.com,90.0,5,1159819,2024-07-06
mostbet.net.pl,nymag.com,90.0,1,824213,2025-04-19
mostbet.net.pl,altervista.org,88.0,1,1319897,2024-12-21
mostbet.net.pl,company.site,88.0,1,55594,2025-01-18
mostbet.net.pl,krakow.pl,87.0,13,1043693,2024-02-09
mostbet.net.pl,themehorse.com,87.0,2,77,2024-12-10
mostbet.net.pl,aryeo.com,87.0,15,1751,2024-12-07
mostbet.net.pl,flywheelsites.com,87.0,20,3594,2024-12-07
mostbet.net.pl,uconn.edu,87.0,4,599742,2024-12-09
mostbet.net.pl,uservoice.com,86.0,1,22765,2026-07-26
mostbet.net.pl,xrea.com,86.0,2,149345,2024-12-18
mostbet.net.pl,observer.com,86.0,2,52034,2024-12-18
mostbet.net.pl,foreignpolicy.com,86.0,3,26918,2024-12-07
mostbet.net.pl,quanticalabs.com,85.0,2,138,2025-02-22
mostbet.net.pl,wikiwand.com,85.0,2,87348,2024-12-13
mostbet.net.pl,latribune.fr,85.0,1,135569,2025-01-02
mostbet.net.pl,cultura.gov.it,84.0,1,745838,2024-12-18
mostbet.net.pl,beniculturali.it,84.0,3,74591,2025-01-15
mostbet.net.pl,codeigniter.com,84.0,1,18123,2026-05-31
mostbet.net.pl,ipfs.io,83.0,3,118,2025-02-05
mostbet.net.pl,jcyl.es,83.0,2,711447,2024-12-15
