// Пункт 9: m.mostbet.com — Organic keywords, mode=subdomains, 2026-08-13, топ-50 по трафику.
// Ответ на «есть ли у него хоть какие-то позиции»: есть, и их больше, чем у апекса
// (22 642 против 18 208 органики). Поддомен ранжируется В ТОМ ЧИСЛЕ в закрытых странах —
// PL, CZ, HU, UZ, — где сам апекс отдаёт 451. В Чехии стоит первым по «mostbet přihlášení».
keyword,best_position,volume,traffic,url,country,is_branded
mostbet casino,7,27000,2092,https://m.mostbet.com/casino,PL,да
mostbet aviator,4,12000,1104,https://m.mostbet.com/aviator,IN,да
mostbet,2,19000,968,https://m.mostbet.com/,RU,да
mostbet uz,7,18000,846,https://m.mostbet.com/,UZ,да
мостбет казино,5,11000,813,https://m.mostbet.com/casino,KZ,да
mostbet casino,3,6800,800,https://m.mostbet.com/,CZ,да
mostbet přihlášení,1,2000,725,https://m.mostbet.com/,CZ,да
mostbet casino,8,6200,694,https://m.mostbet.com/casino,HU,да
mostbet kz,4,7100,666,https://m.mostbet.com/,KZ,да
mostbet casino,2,2000,485,https://m.mostbet.com/casino,RU,да
most bet,6,4900,478,https://m.mostbet.com/casino/provider/Gamebeat,IN,да
mostbet,1,450,473,https://m.mostbet.com/,NO,да
mostbet kasyno,6,5800,466,https://m.mostbet.com/,PL,да
mostbet giris,4,2900,453,https://m.mostbet.com/,TR,да
мостбет официальный сайт,3,2300,437,https://m.mostbet.com/,RU,да
mostbet,1,400,429,https://m.mostbet.com/,PE,да
mostbet,2,7400,387,https://m.mostbet.com/,BR,да
мостбет казино,6,4300,360,https://m.mostbet.com/,RU,да
mostbet login,8,5600,352,https://m.mostbet.com/,IN,да
mostbet bd,6,5800,348,https://m.mostbet.com/,BD,да
mostbet az qeydiyyat,8,8400,323,https://m.mostbet.com/,AZ,да
mostbet casino,1,600,296,https://m.mostbet.com/casino,CA,да
mostbet apk,6,4000,239,https://m.mostbet.com/,IN,да
mostbet,1,2100,223,https://m.mostbet.com/,NL,да
mostbet casino,1,600,219,https://m.mostbet.com/casino,BD,да
mostbet online,2,900,214,https://m.mostbet.com/,CZ,да
mostbet güncel giriş,8,3400,214,https://m.mostbet.com/,TR,да
мостбет cz,4,1200,203,https://m.mostbet.com/,CZ,да
mostbet login,3,1300,202,https://m.mostbet.com/,NP,да
мостбет казино играть,6,1100,166,https://m.mostbet.com/,RU,да
mostbet казино,2,700,150,https://m.mostbet.com/,KZ,да
mostbet casino cz,4,1500,136,https://m.mostbet.com/,CZ,да
mostbet casino,1,350,128,https://m.mostbet.com/casino,MX,да
most bet,2,700,126,https://m.mostbet.com/,CZ,да
mostbet casino официальный сайт,2,700,119,https://m.mostbet.com/,RU,да
mostbet cz,2,800,115,https://m.mostbet.com/,DE,да
mostbet maroc,2,800,113,https://m.mostbet.com/,MA,да
mostbet,3,43000,112,https://m.mostbet.com/,CZ,да
мостбет официальный сайт вход,3,500,111,https://m.mostbet.com/,RU,да
mostbet casino,2,700,108,https://m.mostbet.com/casino,CL,да
mosbet,1,100,102,https://m.mostbet.com/,MA,нет
mostbet,1,90,97,https://m.mostbet.com/,ID,да
mostbet casino,8,1600,91,https://m.mostbet.com/casino,UZ,да
mstbet,1,90,89,https://m.mostbet.com/,TR,да
most bet,4,900,86,https://m.mostbet.com/,PT,да
mostbet bangladesh,3,700,85,https://m.mostbet.com/,BD,да
mosbet az,5,1100,81,https://m.mostbet.com/,AZ,да
mostbet uz online,4,900,80,https://m.mostbet.com/,UZ,да
мостбет вход на сегодня,3,500,80,https://m.mostbet.com/,KZ,да
мостбет уз,5,1100,80,https://m.mostbet.com/,UZ,да
