// Пункт 10: guidebook.mostbet.com — Organic keywords, 2026-08-13, топ-50 по трафику.
// Вопрос был «ранжируется ли он по коммерческим запросам или только по брендовым».
// Ответ однозначный: из топ-50 брендовые ВСЕ 50. Небрендового ядра у него нет.
// Побочно — самое важное из всей выгрузки: у guidebook уже есть локальные пути
// /pl/ /cs/ /hu/ /de/ /uz/ /ru/ /az/, и они стоят первыми там, где апекс отдаёт 451.
keyword,best_position,volume,traffic,url,country,is_branded
mostbet,1,56000,58163,https://guidebook.mostbet.com/,BD,да
mostbet,1,20000,21179,https://guidebook.mostbet.com/de/,DE,да
mostbet casino,1,27000,9634,https://guidebook.mostbet.com/pl/,PL,да
mostbet aviator,1,12000,4271,https://guidebook.mostbet.com/aviator/,IN,да
mostbet login,1,5600,2803,https://guidebook.mostbet.com/log-in/,IN,да
mosbet,1,2200,2282,https://guidebook.mostbet.com/,BD,да
mostbet app,1,4500,1651,https://guidebook.mostbet.com/,BD,да
mostbet app download,1,3700,1332,https://guidebook.mostbet.com/download-app/,PK,да
mostbet casino,2,6200,912,https://guidebook.mostbet.com/,HU,да
мостбет казино,2,4300,788,https://guidebook.mostbet.com/ru/login-ru/,RU,да
mostbet login,1,1300,710,https://guidebook.mostbet.com/log-in/,NP,да
mostbet promo code,1,1600,565,https://guidebook.mostbet.com/no-deposit-bonuses/,CZ,да
mostbet uz,9,18000,542,https://guidebook.mostbet.com/uz/,UZ,да
mostbet bd,7,5800,535,https://guidebook.mostbet.com/log-in/,BD,да
mostbet download,1,1100,515,https://guidebook.mostbet.com/download-app/,PK,да
mostbet cz,2,3400,497,https://guidebook.mostbet.com/cs/,CZ,да
mostbet.com,1,450,456,https://guidebook.mostbet.com/,BD,да
mostbet app,1,1000,454,https://guidebook.mostbet.com/download-app/,NP,да
mostbet register,1,800,440,https://guidebook.mostbet.com/registration/,BD,да
mostbet casino,2,1600,431,https://guidebook.mostbet.com/log-in/,PT,да
mostbet güncel giriş,5,3400,417,https://guidebook.mostbet.com/log-in/,TR,да
mostbet bonus bez depozytu,1,1100,408,https://guidebook.mostbet.com/pl/no-deposit-bonus-at-mostbet-pl/,PL,да
mostbet app,1,1100,391,https://guidebook.mostbet.com/download-app/,PK,да
most bet,1,1000,374,https://guidebook.mostbet.com/,BD,да
мостбет официальный сайт,4,2300,361,https://guidebook.mostbet.com/ru/login-ru/,RU,да
мостбет казино,9,11000,333,https://guidebook.mostbet.com/ru/,KZ,да
mostbet online,1,900,323,https://guidebook.mostbet.com/cs/,CZ,да
mostbet,1,300,303,https://guidebook.mostbet.com/,SE,да
mostbet casino,4,1600,299,https://guidebook.mostbet.com/casino/,UZ,да
mostbet apk,1,800,298,https://guidebook.mostbet.com/download-app/,PK,да
mostbet app,1,700,276,https://guidebook.mostbet.com/pl/download-app-pl/,PL,да
mostbet official website,1,400,261,https://guidebook.mostbet.com/,BD,да
mostbet apk,1,600,252,https://guidebook.mostbet.com/download-app/,CZ,да
mostbet download,1,500,233,https://guidebook.mostbet.com/download-app/,BD,да
mostbet apk download,1,600,231,https://guidebook.mostbet.com/download-app/,BD,да
mostbet 3,1,350,220,https://guidebook.mostbet.com/log-in/,BD,да
mostbet hungary,2,800,220,https://guidebook.mostbet.com/hu/,HU,да
мостбет казино играть,3,1100,218,https://guidebook.mostbet.com/ru/login-ru/,RU,да
мостбет войти,2,1000,215,https://guidebook.mostbet.com/ru/login-ru/,KZ,да
mostbet casino cz,2,1500,213,https://guidebook.mostbet.com/cs/,CZ,да
mostbet casino,2,600,207,https://guidebook.mostbet.com/casino/,BD,да
mostbet bonus,1,350,207,https://guidebook.mostbet.com/bonuses/,US,да
mostbet casino,5,2000,201,https://guidebook.mostbet.com/ru/login-ru/,RU,да
mostbet promo code no deposit,1,500,195,https://guidebook.mostbet.com/no-deposit-bonuses/,CZ,да
mostbet login bangladesh,1,400,181,https://guidebook.mostbet.com/log-in/,BD,да
mostbet,1,150,176,https://guidebook.mostbet.com/log-in/,GH,да
mosbet,1,150,162,https://guidebook.mostbet.com/log-in/,PT,да
mostbet indir,5,1600,153,https://guidebook.mostbet.com/az/download-app-az/,AZ,да
мостбет скачать,8,3700,151,https://guidebook.mostbet.com/download-app-ru,RU,да
mostbet casino,3,600,143,https://guidebook.mostbet.com/casino/,CA,да
