// Доп. пункт из 7-бис: органика апекса в разрезе стран, mode=domain, 2026-08-13.
// Пересечение с картой закрытых стран: апекс собирает трафик там, где сам отдаёт 451 или 204.
// CZ — крупнейший рынок апекса (2 772), и он же в списке заблокированных.
// blocked: 451/204 по нашим замерам с 19 точек.
country,org_traffic,org_cost_cents,org_keywords,blocked
CZ,2772,194149,33,451
PK,2553,182726,20,
BD,2123,19464,91,
IN,1359,19468,49,
GE,1302,23708,4,
UZ,1026,51862,40,451
AZ,1017,41619,47,
TR,873,10783,95,
KZ,834,77379,23,
NP,598,2989,9,
US,377,69314,222,204
HU,317,47697,7,451
JP,308,90386,1,
DK,257,97311,1,
MY,247,15336,1,
TJ,229,4620,2,
UA,202,19716,114,
DE,180,41862,37,451
CY,148,5150,2,451
SK,140,9109,1,
RU,137,,167,
PL,129,12981,11,451
GB,100,6898,133,
BY,88,,4,
RO,80,9453,6,
PT,70,18395,8,
BS,70,,1,
TZ,68,3318,2,
BR,64,9109,19,
AU,55,12513,3,
AE,46,9300,3,
NL,43,1823,146,451
CM,38,752,1,
LU,36,,1,
KE,32,330,6,
LK,31,143,7,
CL,28,1264,2,
AM,23,,2,
MD,22,443,1,
MX,20,4560,1,
ZA,17,705,6,
EE,16,4589,1,
KG,15,24,3,
AF,15,201,2,
SA,13,,3,
AO,9,680,2,
MA,9,,3,
KH,8,,1,
PE,8,785,4,
ET,8,684,2,
CH,7,4751,2,
CA,7,346,5,451
SE,6,49,4,
FR,4,144,8,
IQ,3,,1,
IT,2,1,2,
SG,2,,1,451
KR,2,38,1,
RS,2,38,1,
LV,1,,13,
EC,1,,1,
ZM,1,11,2,
NA,1,,1,
AR,1,,1,
EG,1,30,2,
KW,1,,1,
JO,1,319,1,
ES,0,25,2,
ID,0,0,1,
CD,0,0,1,
MZ,0,0,3,
GH,0,0,2,
NG,0,0,2,
AL,0,,1,
TH,0,,1,
GI,0,,5,
