country,theme,volume,keyword,parent_topic,ai_overview_seen,paa_seen
KZ,выбор БК,5400,букмекерские конторы,фонбет,yes,
KZ,выбор БК,1600,букмекерские конторы казахстана,parimatch kz,,yes
KZ,выбор БК,200,букмекерские конторы олимп,олимпбет,yes,yes
KZ,легальность,200,легальные букмекерские конторы в казахстане,букмекерские конторы,yes,yes
KZ,выбор БК,200,букмекерские конторы казахстан,букмекерские конторы,,yes
KZ,отзывы,150,мостбет отзывы,мостбет отзывы,,yes
KZ,легальность,150,букмекерские конторы казахстан закон,,,
KZ,выбор БК,150,все букмекерские конторы,букмекерские конторы,,yes
KZ,выбор БК,150,лучшие букмекерские конторы,букмекерские конторы,,yes
KZ,выбор БК,150,букмекерские конторы в казахстане,букмекерские конторы казахстана,yes,yes
KZ,выбор БК,150,букмекерские конторы казахстана новости,,,
KZ,выбор БК,150,букмекерские конторы онлайн,фонбет,yes,yes
KZ,выбор БК,150,какие букмекерские конторы работают в казахстане,,,
KZ,выбор БК,150,букмекерские конторы кз,букмекерские конторы казахстана,,yes
KZ,выбор БК,150,какие букмекерские конторы есть в казахстане,букмекерская контора казахстан,yes,yes
KZ,выбор БК,150,букмекерские конторы с фрибетом,фрибет за регистрацию,,yes
KZ,отзывы,100,mostbet kz отзывы,mostbet kz отзывы,,yes
KZ,поддержка,100,мостбет кз номер телефона,,,
KZ,выбор БК,100,букмекерские конторы в казахстане закроют,,,
KZ,верификация,100,букмекерские конторы без верификации,,,
KZ,легальность,100,лицензионные букмекерские конторы,букмекерские конторы,,yes
KZ,выбор БК,100,лучшие букмекеры казахстана,букмекерская контора казахстан,yes,yes
KZ,выбор БК,100,когда заработают букмекеры,,,
KZ,выбор БК,90,казахстанские букмекерские конторы,,,
KZ,выбор БК,90,самые лучшие бк,,,
KZ,выбор БК,90,какой букмекер лучше в казахстане,букмекерские конторы казахстана,yes,yes
KZ,как ставить,90,где ставить ставки в казахстане,,,
KZ,возраст,90,со скольки лет можно ставить ставки в казахстане,со скольки лет можно ставить ставки в казахстане,,yes
KZ,как ставить,90,где ставить ставки на спорт,,,
KZ,вывод денег,80,как вывести бонусы с мостбет,,,
KZ,выбор БК,80,букмекерские конторы алматы,,,
KZ,выбор БК,80,букмекерские конторы фрибет,,,
KZ,как ставить,80,как делать ставки на футбол через телефон,футбол ставка,,yes
KZ,отзывы,70,mostbet отзывы,мостбет отзывы,,yes
KZ,выбор БК,70,букмекерские конторы с фрибетом без депозита,,,
KZ,легальность,70,нелегальные букмекерские конторы,,,
KZ,выбор БК,70,ставки на спорт букмекерские конторы,фрибет,,yes
KZ,выбор БК,70,лучшие бонусы бк,,,
KZ,выбор БК,70,лучшие бк,,,
KZ,что это,70,букмекер это,,,
KZ,выбор БК,70,какие букмекеры работают в казахстане,,,
KZ,выбор БК,60,букмекерские конторы рейтинг,,,
KZ,выбор БК,60,букмекерские конторы новости,,,
KZ,выбор БК,60,лучшие букмекерские конторы мира,лучшие букмекерские конторы мира,yes,yes
KZ,выбор БК,60,новые букмекерские конторы,,,
KZ,надёжность,60,самые надежные букмекерские конторы,,,
KZ,выбор БК,60,букмекерские конторы россии,,,
KZ,выбор БК,60,лучшие букмекеры,букмекерские конторы,,yes
